TCGA	ICGC	GSE14520	GSE222334
Lasso+StepCox[both]	0.746824630468692	0.75625	0.64050303555941	0.685333333333333
survivalSVM	0.653643318725395	0.641477272727273	0.626192541196878	0.754666666666667
CoxBoost+survivalSVM	0.724801307286637	0.7328125	0.652211621856028	0.734222222222222
Ridge	0.725655500259972	0.732386363636364	0.632625036137612	0.745185185185185
Lasso+survivalSVM	0.724949862586348	0.741193181818182	0.649176062445794	0.727111111111111
SuperPC	0.677300750204264	0.702414772727273	0.611231569817866	0.745185185185185
CoxBoost+Ridge	0.749572903513333	0.739204545454546	0.658933217692975	0.720888888888889
Enet[alpha=0.1]	0.747233157542895	0.746590909090909	0.653368025440879	0.729777777777778
CoxBoost+Enet[alpha=0.1]	0.751169872985219	0.740340909090909	0.660378722174039	0.716148148148148
Enet[alpha=0.2]	0.750278541186957	0.748011363636364	0.655753107834634	0.724444444444444
Enet[alpha=0.3]	0.746230409269851	0.749005681818182	0.655897658282741	0.719407407407407
CoxBoost+Enet[alpha=0.3]	0.753732451905222	0.742329545454545	0.662546978895635	0.710222222222222
CoxBoost+Enet[alpha=0.2]	0.752024065958553	0.741619318181818	0.660812373518358	0.716444444444444
Enet[alpha=0.4]	0.747938795216519	0.749147727272727	0.658282740676496	0.716148148148148
CoxBoost+Enet[alpha=0.4]	0.754289534279135	0.742329545454545	0.663197455912113	0.708740740740741
Lasso+CoxBoost	0.748198766991012	0.764204545454545	0.654090777681411	0.678222222222222
Enet[alpha=0.5]	0.74931293173884	0.749289772727273	0.65994507082972	0.715259259259259
CoxBoost	0.750055708237391	0.753693181818182	0.665365712633709	0.709925925925926
CoxBoost+Enet[alpha=0.5]	0.749201515264057	0.747017045454546	0.66131830008673	0.713777777777778
Enet[alpha=0.6]	0.74730743519275	0.749857954545455	0.660450997398092	0.712296296296296
CoxBoost+Enet[alpha=0.6]	0.754438089578846	0.741193181818182	0.66312518068806	0.708444444444444
CoxBoost+Enet[alpha=0.7]	0.754772339003194	0.740482954545455	0.66312518068806	0.707555555555555
CoxBoost+Enet[alpha=0.8]	0.754178117804353	0.741761363636364	0.664137033824805	0.706666666666667
Enet[alpha=0.8]	0.744447745673327	0.749715909090909	0.660812373518358	0.710518518518519
Enet[alpha=0.9]	0.746416103394489	0.75	0.663775657704539	0.710222222222222
Lasso	0.750909901210726	0.749857954545455	0.667317143683145	0.711703703703704
Enet[alpha=0.7]	0.744336329198544	0.75	0.660234171725932	0.711407407407407
CoxBoost+Enet[alpha=0.9]	0.756035059050732	0.739488636363636	0.66334200636022	0.704888888888889
CoxBoost+Lasso	0.755329421377108	0.739914772727273	0.662763804567794	0.706074074074074
Lasso+plsRcox	0.742219416177672	0.772159090909091	0.63891298063024	0.678518518518519
CoxBoost+plsRcox	0.747084602243185	0.750284090909091	0.649392888117953	0.696
CoxBoost+StepCox[forward]	0.753843868380004	0.730397727272727	0.654596704249783	0.705185185185185
Lasso+StepCox[forward]	0.747753101091881	0.762926136363636	0.649681989014166	0.672592592592593
RSF+survivalSVM	0.670838594666865	0.655965909090909	0.620410523272622	0.757333333333333
CoxBoost+SuperPC	0.695164524994429	0.677698863636364	0.637178375252963	0.753185185185185
StepCox[forward]	0.768439426576543	0.514346590909091	0.515683723619543	0.552296296296296
plsRcox	0.742702220901731	0.709375	0.562518068806013	0.6
RSF+Ridge	0.762942880487261	0.761789772727273	0.637973402717548	0.724148148148148
RSF+Enet[alpha=0.1]	0.757223501448414	0.759232954545455	0.649609713790113	0.720888888888889
Lasso+SuperPC	0.698581296887766	0.707670454545455	0.631034981208442	0.735407407407407
RSF+plsRcox	0.749535764688405	0.757670454545455	0.635443769875687	0.708444444444444
RSF+StepCox[forward]	0.749684319988116	0.652130681818182	0.562518068806013	0.623111111111111
RSF+Enet[alpha=0.2]	0.765691153531902	0.759375	0.651922520959815	0.721185185185185
RSF+Enet[alpha=0.3]	0.751207011810146	0.757386363636364	0.658355015900549	0.711703703703704
RSF+Enet[alpha=0.6]	0.75161553888435	0.7609375	0.660740098294305	0.707259259259259
RSF+Lasso	0.757000668498849	0.758380681818182	0.659872795605666	0.703703703703704
RSF+Enet[alpha=0.7]	0.751244150635074	0.757528409090909	0.661968777103209	0.707851851851852
RSF+Enet[alpha=0.5]	0.753286786006091	0.759517045454545	0.660378722174039	0.707259259259259
RSF+CoxBoost	0.752358315382901	0.761363636363636	0.667244868459092	0.704296296296296
RSF+Enet[alpha=0.9]	0.749684319988116	0.756534090909091	0.665293437409656	0.709925925925926
RSF+Enet[alpha=0.4]	0.750909901210726	0.759090909090909	0.659077768141081	0.710222222222222
RSF+Enet[alpha=0.8]	0.756257892000297	0.758806818181818	0.659366869037294	0.704296296296296
RSF+StepCox[both]	0.759451830944069	0.695738636363636	0.60248626770743	0.667851851851852
RSF+StepCox[backward]	0.759451830944069	0.695738636363636	0.60248626770743	0.667851851851852
StepCox[both]+Ridge	0.779915323479165	0.728551136363636	0.602558542931483	0.689777777777778
StepCox[backward]+Ridge	0.757223501448414	0.741477272727273	0.624457935819601	0.728888888888889
StepCox[both]+plsRcox	0.74931293173884	0.673579545454545	0.531656548135299	0.581333333333333
StepCox[backward]+plsRcox	0.74931293173884	0.673579545454545	0.531656548135299	0.581333333333333
StepCox[both]+Enet[alpha=0.9]	0.737094258337666	0.739346590909091	0.649971089910379	0.714962962962963
StepCox[backward]+Enet[alpha=0.9]	0.737094258337666	0.739346590909091	0.649971089910379	0.714962962962963
StepCox[both]+Enet[alpha=0.1]	0.736351481839115	0.731676136363636	0.660378722174039	0.728888888888889
StepCox[backward]+Enet[alpha=0.1]	0.736351481839115	0.731676136363636	0.660378722174039	0.728888888888889
StepCox[both]+Enet[alpha=0.8]	0.737094258337666	0.738352272727273	0.650982943047123	0.715259259259259
StepCox[backward]+Enet[alpha=0.8]	0.73672287008839	0.739346590909091	0.648597860653368	0.715555555555556
StepCox[both]+Enet[alpha=0.2]	0.738691227809552	0.7390625	0.662619254119688	0.722074074074074
StepCox[backward]+Enet[alpha=0.2]	0.738691227809552	0.7390625	0.662619254119688	0.722074074074074
StepCox[both]+Lasso	0.738468394859987	0.737926136363636	0.652139346631975	0.711111111111111
StepCox[backward]+Lasso	0.738468394859987	0.737926136363636	0.652139346631975	0.711111111111111
StepCox[both]+Enet[alpha=0.6]	0.738616950159697	0.735227272727273	0.655608557386528	0.713777777777778
StepCox[backward]+Enet[alpha=0.6]	0.736648592438535	0.735653409090909	0.652645273200347	0.716148148148148
CoxBoost+GBM	0.661869568446854	0.674076704545455	0.617049725354149	0.638518518518518
StepCox[both]+Enet[alpha=0.7]	0.737948451311001	0.734232954545455	0.653223474992772	0.71437037037037
StepCox[backward]+Enet[alpha=0.7]	0.737948451311001	0.734232954545455	0.653223474992772	0.71437037037037
Lasso+StepCox[backward]	0.746824630468692	0.75625	0.64050303555941	0.685333333333333
StepCox[both]	0.711914135036767	0.527414772727273	0.506577045388841	0.591407407407407
